
命令	说明
git remote add origin 仓库地址	将远程库与本地当前库关联
git push -u origin master	将本地仓库推送至远程仓库
git clone 远程库地址	将远程仓库克隆至本地
git branch 分支名	创建分支
git branch	查看分支列表
git checkout 分支名	切换分支
git checkout -d 分支名	删除分支
git checkout -b 分支名	创建并切换至分支
git merge 分支名	将分支合并至当前分支
git log --graph	查看分支合并图
git stash	暂存工作区
git stash apply	恢复工作区
git stach drop	删除工作区状态暂存文件
git stach list	查看工作区状态暂存文件列表
git stach pop	恢复工作区状态并删除暂存文件
git remote	查看远程库信息 （-v 查看详细信息）
git push origin 分支名	将本地分支提交至远程库
git checkout -b 分支名 origin/分支名	创建远程库分支的本地分支
git branch --set-upstream 分支名 origin/分支名	将本地分支与远程库分支建立链接
git pull
